time,open,high,low,close,pz,tz,xup,xdn,est,ema12,atr14,close
1789414080,761.72,761.83,761.71,761.72,-83.25888542682208,-52.07407869745642,0,0,0,761.8198670172927,0.17964768966801362,761.72
1789414200,761.73,761.925,761.71,761.86,-75.74851189620313,-52.02754268033709,0,0,0,761.8260413223246,0.1821728546917211,761.86
1789414320,761.87,761.93,761.74,761.78,-73.89615951617166,-53.88559551051219,0,0,0,761.818958041967,0.18273193649945108,761.78
1789414440,761.75,761.79,761.56,761.6,-79.62211963712728,-57.27021977265387,0,0,0,761.7852721893566,0.18610822674949157,761.6
1789414560,761.6,761.7,761.57,761.64,-81.67908972784586,-61.62173110267133,0,0,0,761.7629226217633,0.1821004962673847,761.64
1789414680,761.64,761.68,761.58,761.6,-84.82003158159583,-66.06240323185324,0,0,0,761.7378576030305,0.17623617510542217,761.6
1789414800,761.605,761.72,761.58,761.64,-83.85636984004265,-70.4095351949196,0,0,0,761.7228025871797,0.17364787688360533,761.64
1789414920,761.64,761.67,761.55,761.589,-85.82369479073998,-74.54701760082234,0,0,0,761.7022175737674,0.16981588567763387,761.589
1789415040,761.58,761.71,761.56,761.7,-77.546342521624,-76.86416856106334,0,0,0,761.7018764085724,0.1684004652720951,761.7
1789415160,761.71,761.82,761.66,761.71,-70.8264235578827,-78.28039703752216,1,0,0,761.7031261918689,0.16780043203837988,761.71
1789415280,761.705,761.74,761.6,761.715,-65.61981766841024,-79.25387828502545,0,0,0,761.7049529315814,0.16581468689278034,761.715
1789415400,761.715,761.82,761.35,761.39,-72.98427095689003,-82.43276587958535,0,0,0,761.656498634415,0.18754220925758366,761.39
1789415520,761.4,761.48,761.12,761.23,-76.04514274682495,-85.86166034813077,0,0,0,761.5908834598896,0.19986062288204295,761.23
1789415640,761.26,761.3,760.82,760.985,-77.58367490005399,-88.57427825542433,0,0,0,761.4976706199066,0.21987057839046162,760.985
1789415760,760.99,761.19,760.895,761.155,-70.85980135455301,-89.39644254590709,0,0,0,761.4449520629978,0.22523696564829096,761.155
1789415880,761.15,761.32,760.66,760.76,-76.04044391754647,-91.36924319420993,0,0,0,761.3395748225366,0.25629146810199027,760.76
1789479000,760.11,760.36,759.115,759.15,-81.80653187244069,-93.30090282391731,0,0,0,761.002717157531,0.3554849346661325,759.15
1789479120,759.14,759.34,758.82,758.829,-86.30280887217674,-94.90033392735793,0,0,0,760.6682991332955,0.36723601076140744,758.829
1789479240,758.83,759.43,758.735,759.39,-81.36244735323034,-94.71930091946881,0,0,0,760.471637728173,0.39064772427844524,759.39
1789479360,759.39,759.7,759.34,759.47,-76.56138750131113,-94.04339525665357,0,0,0,760.3175396161464,0.38845860111570013,759.47
1789479480,759.48,759.86,759.47,759.81,-69.3647025978146,-92.28571439418228,0,0,0,760.2394565982777,0.3885687010360063,759.81
1789479600,759.8,759.85,759.52,759.66,-65.79747730202409,-90.9524786502977,0,0,0,760.1503094293118,0.3843852223905802,759.66
